date;SO2_24h_ppb;SO2_24h_ugm3
22/08/2020;3.7;9.7
23/08/2020;14.06;36.84
24/08/2020;36.71;96.19
25/08/2020;10.73;28.13
26/08/2020;9.92;25.98
27/08/2020;22.23;58.24
28/08/2020;4.46;11.68
29/08/2020;32.22;84.41
30/08/2020;16.39;42.94
31/08/2020;15.15;39.69
1/09/2020;2.4;6.3
2/09/2020;2.1;5.5
3/09/2020;39.7;104
4/09/2020;2.6;6.9
5/09/2020;24;62.9
6/09/2020;9.4;24.7
7/09/2020;97.1;254.3
8/09/2020;3.9;10.2
9/09/2020;2.3;6
10/09/2020;72.1;189
11/09/2020;28.1;73.5
12/09/2020;4.7;12.3
13/09/2020;6.4;16.7
14/09/2020;5.7;15
15/09/2020;7.4;19.4
16/09/2020;8.4;22
17/09/2020;4.5;11.7
18/09/2020;1.9;5.1
19/09/2020;2;5.2
20/09/2020;26.8;70.2
21/09/2020;24.7;64.7
22/09/2020;36.1;94.7
23/09/2020;4.6;12
24/09/2020;2.7;6.9
25/09/2020;20.2;52.9
26/09/2020;7.3;19.1
27/09/2020;;
28/09/2020;;
29/09/2020;;
30/09/2020;;
1/10/2020;;
2/10/2020;;
3/10/2020;34.5;90.5
4/10/2020;5.7;14.9
5/10/2020;7.1;18.5
6/10/2020;6.7;17.6
7/10/2020;30.3;79.5
8/10/2020;76.1;199.4
9/10/2020;65.4;171.3
10/10/2020;6.3;16.5
11/10/2020;27.8;72.9
12/10/2020;39;102.2
13/10/2020;3.3;8.7
14/10/2020;26.4;69.1
15/10/2020;4.1;10.7
16/10/2020;54.8;143.7
17/10/2020;48.2;126.4
18/10/2020;35.9;94.1
19/10/2020;35.8;93.9
20/10/2020;39.6;103.8
21/10/2020;3.4;9
22/10/2020;43;112.6
23/10/2020;77;201.7
24/10/2020;108.7;284.9
25/10/2020;63;165.1
26/10/2020;45.4;119
27/10/2020;35.8;93.7
28/10/2020;38.5;100.9
29/10/2020;57.4;150.4
30/10/2020;13.2;34.6
31/10/2020;21.9;57.3
1/11/2020;20.4;53.3
2/11/2020;51.5;134.9
3/11/2020;7.3;19.3
4/11/2020;20;52.4
5/11/2020;14.7;38.4
6/11/2020;4.8;12.5
7/11/2020;5.3;14
8/11/2020;4.9;12.8
9/11/2020;23;60.3
10/11/2020;12.3;32.3
11/11/2020;83.4;218.4
12/11/2020;;
13/11/2020;;
14/11/2020;;
15/11/2020;;
16/11/2020;18.7;49
17/11/2020;24.4;63.9
18/11/2020;;
19/11/2020;60.8;159.2
20/11/2020;62.6;164.1
21/11/2020;32.1;84
22/11/2020;;
23/11/2020;;
24/11/2020;;
25/11/2020;44.6;116.8
26/11/2020;;
27/11/2020;;
28/11/2020;;
29/11/2020;;
30/11/2020;;
1/12/2020;;
2/12/2020;;
3/12/2020;;
4/12/2020;68.5;179.5
5/12/2020;21.2;55.5
6/12/2020;96.6;253.2
7/12/2020;134.7;353
8/12/2020;147.2;385.6
9/12/2020;82.7;216.7
10/12/2020;162.3;425.2
11/12/2020;91.7;240.3
12/12/2020;58.7;153.8
13/12/2020;24;62.8
14/12/2020;104.9;274.7
15/12/2020;21;55.1
16/12/2020;57.2;150
17/12/2020;9.1;23.7
18/12/2020;49.6;130
19/12/2020;55.3;144.9
20/12/2020;15.1;39.4
21/12/2020;96.1;251.9
22/12/2020;74.4;194.9
23/12/2020;82.1;215
24/12/2020;140.8;369
25/12/2020;236.6;619.8
26/12/2020;177.4;464.7
27/12/2020;56;146.7
28/12/2020;103.3;270.7
29/12/2020;212.2;555.9
30/12/2020;88.7;232.5
31/12/2020;100.8;264
1/01/2021;53.1;139.1
2/01/2021;112.6;295
3/01/2021;99.2;259.8
4/01/2021;180.2;472.2
5/01/2021;73.2;191.7
6/01/2021;81.8;214.2
7/01/2021;17.9;46.9
8/01/2021;136.5;357.5
9/01/2021;105.9;277.6
10/01/2021;95.1;249.1
11/01/2021;30;78.6
12/01/2021;193;505.7
13/01/2021;146.6;384.1
14/01/2021;28.1;73.6
15/01/2021;119.3;312.7
16/01/2021;135;353.7
17/01/2021;157.9;413.7
18/01/2021;77.7;203.6
19/01/2021;90.7;237.6
20/01/2021;43;112.6
21/01/2021;5.4;14
22/01/2021;23;60.2
23/01/2021;4.6;12.2
24/01/2021;23.8;62.4
25/01/2021;141.9;371.7
26/01/2021;145.8;382
27/01/2021;66.1;173.1
28/01/2021;14.8;38.9
29/01/2021;61.7;161.5
30/01/2021;93.2;244.2
31/01/2021;57.2;149.8
1/02/2021;93.9;246
2/02/2021;26.3;68.9
3/02/2021;65;170.4
4/02/2021;198.8;520.8
5/02/2021;111.4;291.8
6/02/2021;98.8;258.9
7/02/2021;69.4;181.8
8/02/2021;95.9;251.1
9/02/2021;174;455.8
10/02/2021;150;392.9
11/02/2021;57.8;151.3
12/02/2021;124.9;327.3
13/02/2021;74.1;194
14/02/2021;40.3;105.7
15/02/2021;54.3;142.2
16/02/2021;44.4;116.2
17/02/2021;90.3;236.5
18/02/2021;85.5;224
19/02/2021;93.8;245.8
20/02/2021;70.6;185
21/02/2021;127.4;333.8
22/02/2021;;
23/02/2021;;
24/02/2021;;
25/02/2021;;
26/02/2021;;
27/02/2021;81.6;213.7
28/02/2021;51.6;135.2
